group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
EllebedyVaccineCohort,Fluarix_397-026_d181,A/AbuDhabi/6753/2023_H3N2,316.4,interpolated,20.54,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Arizona/IVYG43Q65T3/2023_H1N1,313,interpolated,11.05,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Bangkok/P3599/2023_H3N2,307.7,interpolated,26.48,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Bangkok/P3755/2023_H3N2,176.6,interpolated,27.9,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Bhutan/0006/2023_H3N2,332.6,interpolated,21.95,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Bhutan/0845/2023_H3N2,333,interpolated,27.28,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Bhutan/FLU-BTG-00988/2022_H3N2,293.6,interpolated,25.7,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Brisbane/02/2018_H1N1,2437,interpolated,200.5,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Brisbane/429/2023_H3N2,253,interpolated,142.7,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/BritishColumbia/RV00920/2023_H3N2,109.5,interpolated,25.15,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Busan/1301/2023_H3N2,299.4,interpolated,17.95,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/California/07/2009_H1N1,6583,lower,1152,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/California/81/2023_H3N2,394.9,interpolated,44.38,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Cambodia/e0826360/2020_H3N2,385.1,interpolated,44.54,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Cambodia/e0826360/2020egg_H3N2,3849,interpolated,775.5,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Catalonia/2041146NS/2023_H3N2,295.3,interpolated,10.22,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Catalonia/NSVH102124476/2023_H3N2,319.9,interpolated,23.02,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Chipata/15-NIC-001/2023_H3N2,326.7,interpolated,13.64,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Darwin/6/2021_H3N2,315.9,interpolated,33,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/DistrictOfColumbia/27/2023_H3N2,85.04,interpolated,13.84,4,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/EHIME/50/2023_H3N2,307.5,interpolated,12.58,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Finland/391/2023_H3N2,220,interpolated,30.46,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Finland/399/2023_H3N2,321.2,interpolated,36.61,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Georgia/40/2023_H3N2,302,interpolated,22.29,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Guangdong-Futian/1980/2023_H3N2,348.2,interpolated,52.89,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Hawaii/70/2019_H1N1,1040,interpolated,67.27,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/HongKong/2671/2019_H3N2,2614,interpolated,436.7,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/HongKong/45/2019_H3N2,440.1,interpolated,58.63,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/HongKong/4801/2014_H3N2,1193,interpolated,204,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/HongKong/4801/2014egg_H3N2,5189,interpolated,604.7,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Jeju/1047/2023_H3N2,328,interpolated,38.68,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Jeonbuk/1544/2023_H1N1,355.5,interpolated,122.8,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/KANAGAWA/AC2316/2023_H3N2,284.6,interpolated,22.97,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/KANAGAWA/IC2239/2023_H3N2,229.4,interpolated,17.09,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Kansas/14/2017_H3N2,358.8,interpolated,28.3,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Krabi/THIS050/2023_H3N2,311.3,interpolated,16.26,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Lisboa/124/2024_H3N2,102.7,interpolated,15.78,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Luga/RII-11393S/2023_H3N2,221.7,interpolated,32.56,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Malaysia/IMR-SARI1989/2023_H3N2,322,interpolated,48.88,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Maldives/852/2023_H3N2,349.2,interpolated,27.53,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Massachusetts/18/2022_H3N2,353.4,interpolated,18.75,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Michigan/45/2015_H1N1,4368,interpolated,398.4,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Netherlands/01685/2023_H3N2,332.5,interpolated,31.66,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Netherlands/01693/2023_H3N2,254.6,interpolated,31.75,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Netherlands/01760/2023_H3N2,376.6,interpolated,37.58,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Netherlands/1739/2023_H1N1,196.8,interpolated,14.79,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Norway/7787/2023_H1N1,246,interpolated,24.8,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Oman/3011/2023_H3N2,318,interpolated,4.992,6,midpoint
EllebedyVaccineCohort,Fluarix_397-026_d181,A/Oman/CPHL_7248310/2024_H3N2,117.7,interpolated,22.05,6,midpoint
