group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/AbuDhabi/6753/2023_H3N2,115.4,interpolated,67,2,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Arizona/IVYG43Q65T3/2023_H1N1,40,upper,0,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Bangkok/P3599/2023_H3N2,281.3,interpolated,26.89,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Bangkok/P3755/2023_H3N2,88.76,interpolated,24.37,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Bhutan/0006/2023_H3N2,40,upper,58.13,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Bhutan/0845/2023_H3N2,239.5,interpolated,38.79,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Bhutan/FLU-BTG-00988/2022_H3N2,150.3,interpolated,73.31,2,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Brisbane/02/2018_H1N1,71.09,interpolated,5.21,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Brisbane/429/2023_H3N2,179.9,interpolated,47.89,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/BritishColumbia/RV00920/2023_H3N2,61.68,interpolated,9.018,2,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Busan/1301/2023_H3N2,109.8,interpolated,14.4,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/California/07/2009_H1N1,237.2,interpolated,7.75,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/California/81/2023_H3N2,220.4,interpolated,22.85,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Cambodia/e0826360/2020_H3N2,40,upper,23.33,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Cambodia/e0826360/2020egg_H3N2,391.7,interpolated,46.95,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Catalonia/2041146NS/2023_H3N2,105.1,interpolated,27.6,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Catalonia/NSVH102124476/2023_H3N2,221.5,interpolated,36.21,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Chipata/15-NIC-001/2023_H3N2,307.1,interpolated,9.258,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Darwin/6/2021_H3N2,167.9,interpolated,44.19,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/Darwin/9/2021_H3N2,487.7,interpolated,43.48,3,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/DistrictOfColumbia/27/2023_H3N2,83.06,upper,43.06,2,midpoint
EllebedyVaccineCohort,mRNA-1010_397-025_d0,A/EHIME/50/2023_H3N2,296.4,interpolated,23.48,3,midpoint
